Date,Salesperson,Region,Product,Units_Sold,Unit_Price
2025-04-28 00:19:02.509541,David,South,Gadget,41,175.35
2025-04-28 00:19:02.509541,David,East,Widget,46,170.83
2025-04-28 00:19:02.509541,Bob,West,Widget,6,237.35
2025-04-28 00:19:02.509541,David,North,Widget,14,413.99
2025-04-28 00:19:02.509541,Alice,South,Thingama,13,116.77
2025-04-28 00:19:02.509541,Alice,East,Widget,47,186.01
2025-04-29 00:19:02.509541,Charlie,East,Doohickey,40,256.53
2025-04-29 00:19:02.509541,Bob,East,Widget,6,242.22
2025-04-29 00:19:02.509541,Bob,South,Doohickey,31,56.51
2025-04-30 00:19:02.509541,Alice,East,Widget,9,494.33
2025-05-01 00:19:02.509541,Bob,South,Gadget,47,446.29
2025-05-01 00:19:02.509541,Charlie,West,Gadget,28,426.23
2025-05-01 00:19:02.509541,Bob,South,Widget,8,248.2
2025-05-01 00:19:02.509541,David,West,Gadget,26,97.88
2025-05-02 00:19:02.509541,David,West,Widget,41,163.8
2025-05-02 00:19:02.509541,David,South,Gadget,39,242.38
2025-05-02 00:19:02.509541,Eva,East,Thingama,10,119.92
2025-05-02 00:19:02.509541,Bob,South,Thingama,47,418.49
2025-05-02 00:19:02.509541,Alice,North,Gadget,43,80.6
2025-05-03 00:19:02.509541,Charlie,East,Widget,28,352.82
2025-05-03 00:19:02.509541,Bob,South,Gadget,3,256.19
2025-05-03 00:19:02.509541,David,South,Widget,45,344.44
2025-05-03 00:19:02.509541,Alice,South,Thingama,40,155.01
2025-05-04 00:19:02.509541,Eva,East,Widget,10,86.54
2025-05-04 00:19:02.509541,Bob,North,Doohickey,4,13.37
2025-05-05 00:19:02.509541,David,North,Widget,31,238.68
2025-05-05 00:19:02.509541,Bob,South,Thingama,23,298.29
2025-05-05 00:19:02.509541,Bob,East,Widget,47,137.32
2025-05-06 00:19:02.509541,David,West,Doohickey,11,498.84
2025-05-06 00:19:02.509541,Charlie,East,Thingama,40,453.14
2025-05-06 00:19:02.509541,Bob,East,Widget,3,124.76
2025-05-07 00:19:02.509541,Eva,South,Thingama,40,469.86
2025-05-07 00:19:02.509541,Bob,West,Gadget,26,438.3
2025-05-09 00:19:02.509541,Eva,North,Thingama,26,113.45
2025-05-09 00:19:02.509541,Charlie,East,Doohickey,36,260.18
2025-05-09 00:19:02.509541,Eva,West,Gadget,22,181.9
2025-05-10 00:19:02.509541,Bob,South,Gadget,28,109.7
2025-05-10 00:19:02.509541,Alice,North,Widget,34,411.01
2025-05-10 00:19:02.509541,Alice,North,Thingama,13,198.94
2025-05-10 00:19:02.509541,Eva,West,Thingama,30,124.87
2025-05-11 00:19:02.509541,Charlie,East,Doohickey,14,133.9
2025-05-11 00:19:02.509541,Eva,South,Thingama,6,142.62
2025-05-11 00:19:02.509541,Alice,East,Doohickey,47,413.93
2025-05-11 00:19:02.509541,Bob,East,Thingama,12,415.99
2025-05-12 00:19:02.509541,Eva,North,Widget,31,264.42
2025-05-12 00:19:02.509541,Bob,South,Widget,29,313.5
2025-05-12 00:19:02.509541,Charlie,South,Widget,13,364.49
2025-05-13 00:19:02.509541,Alice,West,Doohickey,13,461.16
2025-05-14 00:19:02.509541,Eva,North,Doohickey,28,420.31
2025-05-15 00:19:02.509541,Bob,South,Thingama,16,307.36
2025-05-16 00:19:02.509541,Eva,North,Gadget,20,443.58
2025-05-16 00:19:02.509541,Charlie,East,Widget,24,466.46
2025-05-17 00:19:02.509541,Alice,South,Doohickey,18,473.5
2025-05-17 00:19:02.509541,David,North,Widget,37,349.09
2025-05-17 00:19:02.509541,Alice,East,Thingama,4,141.6
2025-05-18 00:19:02.509541,Bob,West,Widget,23,141.74
2025-05-18 00:19:02.509541,Charlie,East,Doohickey,43,161.81
2025-05-19 00:19:02.509541,Bob,South,Gadget,2,404.16
2025-05-19 00:19:02.509541,Bob,West,Doohickey,17,256.29
2025-05-19 00:19:02.509541,David,East,Gadget,5,56.73
2025-05-20 00:19:02.509541,Eva,West,Doohickey,4,459.05
2025-05-20 00:19:02.509541,Charlie,East,Thingama,38,118.05
2025-05-22 00:19:02.509541,Charlie,South,Gadget,25,446.06
2025-05-22 00:19:02.509541,David,North,Thingama,5,137.91
2025-05-22 00:19:02.509541,Charlie,East,Gadget,22,391.96
2025-05-23 00:19:02.509541,Charlie,North,Gadget,39,351.61
2025-05-23 00:19:02.509541,Alice,South,Thingama,40,209.23
2025-05-23 00:19:02.509541,David,South,Thingama,34,427.75
2025-05-24 00:19:02.509541,Eva,North,Doohickey,47,92.0
2025-05-25 00:19:02.509541,Charlie,East,Doohickey,14,283.94
2025-05-25 00:19:02.509541,Alice,West,Widget,2,204.53
2025-05-25 00:19:02.509541,David,East,Thingama,10,158.61
